school_id,school,city,countystate_territory,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled
54176,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,19.0,21.0,7.0,0.0,0.0,0.0,31.0,33.0,20.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,55.0,27.0
54181,SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,6.0,8.0,3.0,0.0,0.0,0.0,32.0,36.0,17.0,11.0,14.0,4.0,33.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,82.0,29.0,191.0,136.0,63.0
54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,4.0,0.0,0.0,0.0,11.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.0,6.0,52.0,33.0,14.0
54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,75.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,74.0,30.0
54201,HEALTH SCIENCES HIGH/MID COLL,San Diego,San Diego,8.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,9.0
54203,SUMMIT CHARTER COLLEGIATE ACAD,Porterville,Tulare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,9.0
54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,8.0,16.0,3.0,0.0,0.0,0.0,92.0,122.0,56.0,4.0,0.0,0.0,15.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,7.0,186.0,135.0,73.0
54207,STELLA HIGH CHARTER ACADEMY,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,25.0,10.0
54214,TAHQUITZ HIGH SCHOOL,Hemet,Riverside,8.0,14.0,3.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,30.0,59.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,86.0,47.0,15.0
54218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,86.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,62.0,15.0
54219,HIGH TECH HIGH - NORTH COUNTY,San Marcos,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,0.0,0.0,0.0,14.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,9.0,48.0,35.0,16.0
