school_id,school,city,countystate_territory,university,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,pacific_islander_app,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
51621,RIVER CITY HIGH SCHOOL,West Sacramento,Yolo,Berkeley,0.0,5.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,57.0,3.0,0.0,5.26,0.0
51622,HIGH TECH HIGH MEDIA ARTS,San Diego,San Diego,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,4.0,0.0,18.18,0.0
51624,PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,Berkeley,0.0,0.0,0.0,0.0,0.0,28.0,135.0,24.0,10.0,30.0,3.0,0.0,22.0,0.0,0.0,6.0,0.0,9.0,72.0,5.0,265.0,47.0,32.0,17.74,12.08
51629,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
51633,FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,Berkeley,0.0,14.0,0.0,0.0,0.0,11.0,88.0,5.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,124.0,14.0,5.0,11.29,4.03
51634,RANCHO BUENA VISTA HIGH SCHOOL,Vista,San Diego,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,0.0
51635,KIPP NAVIGATE COLLEGE PREP,San Jose,Santa Clara,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
51638,WARREN HIGH SCHOOL,Downey,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,8.0,0.0,10.96,0.0
51645,LAGUNA CREEK HIGH SCHOOL,Elk Grove,Sacramento,Berkeley,0.0,10.0,0.0,0.0,0.0,4.0,39.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,70.0,4.0,3.0,5.71,4.29
51660,MIDDLE COLLEGE HIGH SCHOOL,San Bernardino,San Bernardino,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
51662,WOODCREEK HIGH SCHOOL,Roseville,Placer,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,0.0,0.0,0.0,0.0
51663,ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
51664,SOCIAL JUSTICE HUMANITAS ACAD,San Fernando,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,12.5,0.0
51668,CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,Berkeley,0.0,5.0,0.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,67.0,9.0,0.0,13.43,0.0
51672,LIBERTY HIGH SCHOOL,Bakersfield,Kern,Berkeley,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,34.0,3.0,0.0,8.82,0.0
51677,METWEST HIGH SCHOOL,Oakland,Alameda,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,3.0,30.77,23.08
51680,MIDDLE COLLEGE HIGH SCHOOL,Santa Ana,Orange,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,0.0,7.89,0.0
51686,ABLE CHARTER,Stockton,San Joaquin,Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
