school_,city_,countystate_territory_,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
DESIGN SCIENCE MIDDLE COLG HS,Fresno,Fresno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,46.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,53.0,40.0,9.0,75.47,16.98
DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo,0.0,0.0,0.0,0.0,0.0,0.0,32.0,43.0,19.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,11.0,77.0,56.0,30.0,72.73,38.96
DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,8.0,13.0,3.0,0.0,0.0,0.0,275.0,326.0,159.0,25.0,26.0,13.0,20.0,31.0,5.0,6.0,7.0,3.0,0.0,0.0,0.0,9.0,15.0,4.0,418.0,343.0,187.0,82.06,44.74
DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,9.0,13.0,0.0,0.0,0.0,0.0,18.0,19.0,12.0,0.0,0.0,0.0,44.0,76.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,113.0,75.0,22.0,66.37,19.47
DIEGO RIVERA COMM/TECH SCHOOL,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,6.0,65.0,30.0
DINUBA HIGH SCHOOL,Dinuba,Tulare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,54.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,44.0,13.0,81.48,24.07
DISCOVERY CHARTER PREP SCHOOL,Sylmar,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,80.0,0.0
DIXON HIGH SCHOOL,Dixon,Solano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,4.0,46.0,26.0,11.0,56.52,23.91
DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,87.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,78.0,27.0,82.11,28.42
DON ANTONIO LUGO HIGH SCHOOL,Chino,San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,42.0,53.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,5.0,62.0,53.0,19.0,85.48,30.65
DOS PALOS HIGH SCHOOL,Dos Palos,Merced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,5.0,81.82,45.45
DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,4.0,7.0,0.0,0.0,0.0,0.0,25.0,33.0,11.0,7.0,8.0,4.0,48.0,73.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,87.0,34.0,208.0,145.0,67.0,69.71,32.21
DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,9.0,16.0,4.0,0.0,0.0,0.0,423.0,491.0,203.0,61.0,67.0,34.0,10.0,16.0,4.0,15.0,15.0,10.0,0.0,0.0,0.0,24.0,38.0,13.0,643.0,542.0,268.0,84.29,41.68
DOWNEY HIGH SCHOOL,Downey,Los Angeles,3.0,8.0,0.0,0.0,0.0,0.0,15.0,17.0,5.0,0.0,0.0,0.0,123.0,199.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,230.0,146.0,45.0,63.48,19.57
DOWNTOWN COLG PREP EL PRIMERO,San Jose,Santa Clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,4.0,66.67,11.11
DOWNTOWN COLLEGE PREP ALUM ROC,San Jose,Santa Clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,4.0,92.31,30.77
DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,5.0,6.0,3.0,0.0,0.0,0.0,45.0,55.0,28.0,0.0,0.0,0.0,44.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,94.0,51.0,78.33,42.5
DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,6.0,10.0,0.0,0.0,0.0,0.0,9.0,10.0,7.0,0.0,0.0,0.0,9.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,27.0,10.0,90.0,33.33
DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,51.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,47.0,24.0,92.16,47.06
DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,9.0,10.0,6.0,0.0,0.0,0.0,26.0,28.0,10.0,0.0,0.0,0.0,45.0,53.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,80.0,35.0,87.91,38.46
DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,11.0,0.0,0.0,0.0,19.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,47.0,39.0,24.0,82.98,51.06
DUARTE HIGH SCHOOL,Duarte,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,0.0,0.0,17.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,38.0,24.0,7.0,63.16,18.42
DUBLIN HIGH SCHOOL,Dublin,Alameda,8.0,13.0,3.0,0.0,0.0,0.0,371.0,446.0,194.0,30.0,31.0,14.0,8.0,15.0,5.0,20.0,21.0,13.0,0.0,0.0,0.0,25.0,42.0,12.0,568.0,462.0,241.0,81.34,42.43
DUNCAN POLYTECHNICAL HS,Fresno,Fresno,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,3.0,0.0,0.0,0.0,24.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,33.0,12.0,75.0,27.27
DURHAM HIGH SCHOOL,Durham,Butte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,8.0,0.0,160.0,0.0
E3 CIVIC HIGH,San Diego,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,4.0,44.44,11.11
EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,9.0,10.0,0.0,0.0,0.0,0.0,51.0,65.0,26.0,0.0,0.0,0.0,56.0,76.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,9.0,171.0,133.0,55.0,77.78,32.16
EARLY COLLEGE ACADEMY,Los Angeles,Los Angeles,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,9.0,104.17,37.5
EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,18.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,5.0,38.0,29.0,13.0,76.32,34.21
EAST BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,59.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,47.0,15.0,79.66,25.42
EAST BAY INNOVATION ACADEMY,Oakland,Alameda,6.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,12.0,14.0,6.0,116.67,50.0
EAST COLLEGE PREP,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,54.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,43.0,23.0,79.63,42.59
EAST LA PERFORMING ARTS MAGNET,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,80.0,0.0
EAST LA RENAISSANCE ACADEMY,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,8.0,63.64,36.36
EAST NICOLAUS HIGH SCHOOL,Trowbridge,Sutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,4.0,0.0,66.67,0.0
EAST PALO ALTO ACADEMY,East Palo Alto,San Mateo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,5.0,70.0,25.0
EAST UNION HIGH SCHOOL,Manteca,San Joaquin,3.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,5.0,0.0,0.0,0.0,13.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,24.0,27.0,14.0,112.5,58.33
EAST VALLEY HIGH SCHOOL,North Hollywood,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,5.0,56.67,16.67
EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,87.5,0.0
EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,6.0,15.0,6.0,0.0,0.0,0.0,74.0,90.0,49.0,0.0,0.0,0.0,60.0,96.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,11.0,231.0,158.0,102.0,68.4,44.16
EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,15.0,25.0,7.0,0.0,0.0,0.0,6.0,7.0,3.0,0.0,0.0,0.0,36.0,49.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,57.0,23.0,70.37,28.4
EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,7.0,0.0,0.0,0.0,25.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,41.0,16.0,75.93,29.63
EDISON HIGH SCHOOL,Fresno,Fresno,11.0,15.0,4.0,0.0,0.0,0.0,22.0,29.0,9.0,0.0,0.0,0.0,61.0,80.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,9.0,144.0,110.0,48.0,76.39,33.33
EDISON HIGH SCHOOL,Huntington Beach,Orange,0.0,0.0,0.0,0.0,0.0,0.0,29.0,47.0,18.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,38.0,7.0,95.0,49.0,25.0,51.58,26.32
EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,4.0,5.0,0.0,0.0,0.0,0.0,17.0,19.0,9.0,0.0,0.0,0.0,37.0,46.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,58.0,16.0,82.86,22.86
EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,72.0,74.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,76.0,26.0,96.2,32.91
EISENHOWER HIGH SCHOOL,Rialto,San Bernardino,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,66.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,56.0,17.0,72.73,22.08
EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,5.0,8.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,16.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,9.0,65.0,48.0,19.0,73.85,29.23
EL CAMINO FUNDAMENTAL HS,Sacramento,Sacramento,3.0,0.0,0.0,3.0,0.0,3.0,4.0,6.0,3.0,0.0,0.0,0.0,11.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,16.0,45.0,44.0,25.0,97.78,55.56
EL CAMINO HIGH,South San Francisco,San Mateo,0.0,0.0,0.0,0.0,0.0,0.0,53.0,80.0,35.0,0.0,0.0,0.0,15.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,68.0,40.0,66.67,39.22
EL CAMINO HIGH SCHOOL,Oceanside,San Diego,6.0,13.0,3.0,0.0,0.0,0.0,13.0,23.0,9.0,0.0,0.0,0.0,35.0,47.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,5.0,97.0,63.0,29.0,64.95,29.9
EL CAMINO HIGH SCHOOL,Ventura,Ventura,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,16.0,15.0,0.0,93.75,0.0
EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,6.0,23.0,4.0,0.0,0.0,0.0,37.0,48.0,25.0,8.0,10.0,3.0,57.0,83.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,91.0,28.0,255.0,163.0,84.0,63.92,32.94
EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,4.0,43.0,23.0,11.0,53.49,25.58
EL CAPITAN HIGH SCHOOL,Merced,Merced,4.0,6.0,0.0,0.0,0.0,0.0,21.0,24.0,16.0,0.0,0.0,0.0,45.0,53.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,6.0,95.0,81.0,48.0,85.26,50.53
EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,9.0,17.0,6.0,0.0,0.0,0.0,38.0,48.0,28.0,3.0,0.0,0.0,22.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,52.0,29.0,145.0,117.0,76.0,80.69,52.41
EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,3.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,37.0,53.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,3.0,81.0,60.0,18.0,74.07,22.22
EL DORADO HIGH SCHOOL,Placentia,Orange,0.0,0.0,0.0,0.0,0.0,0.0,52.0,68.0,38.0,8.0,8.0,4.0,24.0,41.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,29.0,8.0,146.0,100.0,63.0,68.49,43.15
EL DORADO HIGH SCHOOL,Placerville,El Dorado,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,6.0,33.0,27.0,10.0,81.82,30.3
EL MODENA HIGH SCHOOL,Orange,Orange,0.0,5.0,0.0,0.0,0.0,0.0,15.0,17.0,9.0,0.0,0.0,0.0,19.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,7.0,79.0,46.0,20.0,58.23,25.32
EL MONTE HIGH SCHOOL,El Monte,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,14.0,0.0,0.0,0.0,35.0,46.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,52.0,34.0,82.54,53.97
EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,82.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,53.0,20.0,64.63,24.39
EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,15.0,18.0,7.0,0.0,0.0,0.0,26.0,31.0,14.0,3.0,0.0,0.0,28.0,47.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,64.0,17.0,160.0,115.0,48.0,71.88,30.0
EL TORO HIGH SCHOOL,Lake Forest,Orange,3.0,5.0,0.0,0.0,0.0,0.0,25.0,37.0,15.0,0.0,0.0,0.0,11.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,7.0,97.0,52.0,27.0,53.61,27.84
ELEANOR ROOSEVELT COMM LRNG CN,Visalia,Tulare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,inf,
ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,21.0,39.0,11.0,0.0,0.0,0.0,161.0,201.0,114.0,5.0,7.0,3.0,84.0,127.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,13.0,405.0,294.0,172.0,72.59,42.47
ELITE ACADEMIC ACADEMY-LUCERNE,Temecula,Riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,57.14,0.0
ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,22.0,4.0,55.0,10.0
ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,5.0,7.0,5.0,0.0,0.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,11.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,10.0,75.0,52.0,28.0,69.33,37.33
ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,53.85,0.0
ELSINORE HIGH SCHOOL,Wildomar,Riverside,4.0,5.0,0.0,0.0,0.0,0.0,9.0,12.0,5.0,0.0,0.0,0.0,33.0,43.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,10.0,78.0,61.0,38.0,78.21,48.72
EMERY SECONDARY SCHOOL,Emeryville,Alameda,4.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,58.33,0.0
ENCINA HIGH SCHOOL,Sacramento,Sacramento,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,111.11,0.0
ENCINAL HIGH SCHOOL,Alameda,Alameda,4.0,11.0,0.0,0.0,0.0,0.0,40.0,49.0,27.0,0.0,0.0,0.0,13.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,5.0,92.0,69.0,37.0,75.0,40.22
ENCORE JR/SR HIGH SCHOOL,Hesperia,San Bernardino,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,133.33,0.0
ENGINEERING & TECH ACAD AT THS,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,6.0,75.0,25.0
ENTERPRISE HIGH SCHOOL,Redding,Shasta,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,4.0,0.0,0.0,0.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,22.0,19.0,12.0,86.36,54.55
ENTREPRENEUR HIGH SCHOOL,Highland,San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,60.0,0.0
ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,68.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,66.0,26.0,97.06,38.24
ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,100.0,80.0
ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,3.0,5.0,0.0,0.0,0.0,0.0,9.0,13.0,7.0,0.0,0.0,0.0,36.0,49.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,4.0,81.0,59.0,26.0,72.84,32.1
ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,0.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,0.0,0.0,23.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,4.0,61.0,40.0,16.0,65.57,26.23
ESCALON HIGH SCHOOL,Escalon,San Joaquin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,13.0,5.0,92.86,35.71
ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,18.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,51.0,32.0,4.0,62.75,7.84
ESCONDIDO HIGH SCHOOL,Escondido,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,7.0,0.0,0.0,0.0,74.0,93.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,108.0,86.0,37.0,79.63,34.26
ESPARTO HIGH SCHOOL,Esparto,Yolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,60.0,40.0
ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,79.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,69.0,17.0,87.34,21.52
ESPERANZA HIGH SCHOOL,Anaheim,Orange,3.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,15.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,7.0,59.0,50.0,22.0,84.75,37.29
ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,6.0,43.0,31.0,16.0,72.09,37.21
ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,29.0,51.0,13.0,0.0,0.0,0.0,61.0,81.0,47.0,0.0,0.0,0.0,52.0,82.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,9.0,240.0,163.0,98.0,67.92,40.83
ETNA UNION HIGH SCHOOL,Etna,Siskiyou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,inf,
EUREKA SENIOR HIGH SCHOOL,Eureka,Humboldt,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,8.0,29.0,19.0,12.0,65.52,41.38
EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,8.0,73.91,34.78
