school_,city_,countystate_territory_,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
CALEXICO HIGH SCHOOL,Calexico,Imperial,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,87.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,62.0,26.0,71.26,29.89
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,7.0,11.0,0.0,0.0,0.0,0.0,49.0,57.0,26.0,3.0,0.0,3.0,37.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,96.0,46.0,72.73,34.85
CALIFORNIA CITY HIGH SCHOOL,California City,Kern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,14.0,13.0,4.0,92.86,28.57
CALIFORNIA CNCTS MONTEREY BAY,Ripon,San Joaquin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,6.0,6.0,4.0,100.0,66.67
CALIFORNIA CONNECTIONS ACD RPN,Ripon,San Joaquin,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,16.0,0.0,133.33,0.0
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,7.0,11.0,4.0,0.0,0.0,0.0,208.0,249.0,116.0,25.0,27.0,15.0,22.0,34.0,7.0,11.0,12.0,7.0,0.0,0.0,0.0,32.0,60.0,14.0,393.0,305.0,163.0,77.61,41.48
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,4.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,85.0,136.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,147.0,95.0,24.0,64.63,16.33
CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,27.0,15.0,84.38,46.88
CALIFORNIA VIRTUAL ACAD SAN DIEGO,Simi Valley,Ventura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,6.0,5.0,4.0,83.33,66.67
CALIFORNIA VIRTUAL ACAD SUTTER,Simi Valley,Ventura,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,inf,
CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,3.0,10.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,11.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,41.0,23.0,4.0,56.1,9.76
CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,60.0,0.0
CALIPATRIA HIGH SCHOOL,Calipatria,Imperial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,3.0,90.0,30.0
CALISTOGA HIGH SCHOOL,Calistoga,Napa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0,3.0,74.07,11.11
CAMBRIDGE VIRTUAL ACADEMY,Anaheim,Orange,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,inf,
CAMINO NUEVO HIGH SCHOOL DALZE,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,43.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,30.0,13.0,69.77,30.23
