school_id,school,city,countystate_territory,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,0.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,12.0,0.0,0.0,0.0,18.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,7.0,74.0,51.0,30.0,68.92,40.54
50618,FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno,3.0,6.0,0.0,0.0,0.0,0.0,27.0,34.0,17.0,0.0,0.0,0.0,22.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,7.0,102.0,65.0,31.0,63.73,30.39
50620,COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,95.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,75.0,32.0,78.95,33.68
50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,5.0,7.0,0.0,0.0,0.0,0.0,32.0,40.0,10.0,0.0,0.0,0.0,20.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,8.0,91.0,67.0,26.0,73.63,28.57
50623,CLARKSVILLE CHARTER SCHOOL,El Dorado Hills,El Dorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,inf,
50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,9.0,14.0,0.0,3.0,0.0,0.0,56.0,64.0,28.0,6.0,6.0,3.0,25.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,45.0,9.0,171.0,126.0,50.0,73.68,29.24
50630,COALINGA HIGH SCHOOL,Coalinga,Fresno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,17.0,5.0,100.0,29.41
50637,COLFAX HIGH SCHOOL,Colfax,Placer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,5.0,13.0,9.0,5.0,69.23,38.46
50640,COLTON HIGH SCHOOL,Colton,San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,80.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,25.0,70.0,31.25
50645,COLUSA HIGH SCHOOL,Colusa,Colusa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,80.0,60.0
