school_id,school,city,countystate_territory,university_,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled
252215,SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,4.0
252215,SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0
252215,SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
252215,SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,Merced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0
252215,SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,Riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
252215,SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,Santa Barbara,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0
252215,SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,Santa Cruz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,Irvine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,Merced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,Riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,Santa Barbara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,Santa Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0
454468,MAGNOLIA SCIENCE ACADEMY 4,Los Angeles,Los Angeles,Riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,3.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,55.0,5.0,91.0,18.0,8.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Davis,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,47.0,3.0,81.0,28.0,3.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Irvine,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,73.0,5.0,0.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,75.0,6.0,120.0,10.0,6.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Merced,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,11.0,0.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Riverside,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,3.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,25.0,23.0,3.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,68.0,0.0,114.0,20.0,0.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Santa Barbara,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,81.0,6.0,127.0,30.0,6.0
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Santa Cruz,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,53.0,0.0,84.0,46.0,0.0
50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Berkeley,0.0,8.0,0.0,0.0,0.0,0.0,9.0,76.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,0.0,156.0,12.0,7.0
50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Davis,3.0,9.0,0.0,0.0,0.0,0.0,30.0,81.0,6.0,4.0,5.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,58.0,5.0,178.0,61.0,11.0
50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Irvine,0.0,7.0,0.0,0.0,0.0,0.0,31.0,87.0,10.0,3.0,0.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,49.0,5.0,164.0,55.0,15.0
